r0,r1,r2,r3,rounds,trials,mean_flip,max_dev,zero_pairs
16,12,8,7,1,4000,0.35583,0.50000,7649
8,2,16,10,1,4000,0.35475,0.50000,8951
8,20,16,19,1,4000,0.35610,0.50000,12505
8,21,16,6,1,4000,0.36195,0.50000,13291
8,6,16,17,1,4000,0.37425,0.50000,6700
8,18,16,30,1,4000,0.35829,0.50000,10889
8,28,16,18,1,4000,0.34558,0.50000,13630
8,1,16,13,1,4000,0.32507,0.50000,10186
8,26,16,28,1,4000,0.35691,0.50000,14725
8,27,16,31,1,4000,0.35910,0.50000,13955
8,29,16,31,1,4000,0.35118,0.50000,13208
8,26,16,5,1,4000,0.35705,0.50000,14014
8,17,16,25,1,4000,0.33748,0.50000,10154
8,18,16,7,1,4000,0.35827,0.50000,11217
8,17,16,12,1,4000,0.33743,0.50000,10210
8,31,16,28,1,4000,0.30671,0.50000,13599
8,19,16,12,1,4000,0.36464,0.50000,11737
8,15,16,30,1,4000,0.32796,0.50000,9048
8,9,16,22,1,4000,0.36671,0.50000,7066
8,18,16,20,1,4000,0.35805,0.50000,11224
8,31,16,24,1,4000,0.30660,0.50000,14117
8,14,16,31,1,4000,0.34921,0.50000,8474
8,2,16,16,1,4000,0.35484,0.50000,8974
8,28,16,12,1,4000,0.34552,0.50000,13047
8,19,16,18,1,4000,0.36457,0.50000,11274
8,7,16,31,1,4000,0.35873,0.50000,6844
8,17,16,14,1,4000,0.33737,0.50000,10468
8,12,16,14,1,4000,0.35600,0.50000,7831
8,12,16,1,1,4000,0.35597,0.50000,7956
8,18,16,18,1,4000,0.35828,0.50000,11049
8,20,16,26,1,4000,0.35625,0.50000,12288
8,20,16,11,1,4000,0.35609,0.50000,11936
8,15,16,20,1,4000,0.32814,0.50000,8969
8,1,16,26,1,4000,0.32508,0.50000,10164
8,6,16,18,1,4000,0.37421,0.50000,6345
8,1,16,25,1,4000,0.32520,0.50000,10021
8,25,16,9,1,4000,0.34010,0.50000,15250
8,4,16,26,1,4000,0.36839,0.50000,6901
8,20,16,6,1,4000,0.35619,0.50000,12416
8,12,16,10,1,4000,0.35603,0.50000,7969
8,3,16,6,1,4000,0.36924,0.50000,7746
8,6,16,9,1,4000,0.37418,0.50000,6807
8,19,16,6,1,4000,0.36465,0.50000,11567
8,28,16,3,1,4000,0.34564,0.50000,13616
8,26,16,18,1,4000,0.35705,0.50000,14825
8,27,16,30,1,4000,0.35907,0.50000,14135
8,9,16,2,1,4000,0.36669,0.50000,7339
8,22,16,3,1,4000,0.35015,0.50000,13768
8,3,16,28,1,4000,0.36929,0.50000,7748
8,1,16,15,1,4000,0.32513,0.50000,10104
8,17,16,31,1,4000,0.33737,0.50000,10200
8,6,16,22,1,4000,0.37426,0.50000,6817
8,9,16,21,1,4000,0.36674,0.50000,7244
8,15,16,23,1,4000,0.32797,0.50000,9203
8,11,16,16,1,4000,0.37446,0.50000,7481
8,1,16,10,1,4000,0.32509,0.50000,10779
8,13,16,11,1,4000,0.36351,0.50000,7971
8,14,16,26,1,4000,0.34932,0.50000,8279
16,19,8,18,1,4000,0.36467,0.50000,11773
16,25,8,4,1,4000,0.34020,0.50000,14448
16,11,8,2,1,4000,0.37424,0.50000,7745
16,14,8,3,1,4000,0.34930,0.50000,8333
16,13,8,28,1,4000,0.36342,0.50000,8150
16,26,8,5,1,4000,0.35705,0.50000,13995
16,17,8,27,1,4000,0.33755,0.50000,10292
16,9,8,12,1,4000,0.36645,0.50000,7231
16,11,8,11,1,4000,0.37430,0.50000,7737
16,4,8,10,1,4000,0.36824,0.50000,7465
16,31,8,20,1,4000,0.30684,0.50000,13416
16,25,8,31,1,4000,0.34017,0.50000,14712
16,23,8,29,1,4000,0.33132,0.50000,14377
