metric=r1 combos=1048576 done=11108 todo=1037468 procs=6
2000/1037468  16.3s elapsed, 122.9/s, eta 8427s
4000/1037468  32.5s elapsed, 122.9/s, eta 8407s
6000/1037468  49.0s elapsed, 122.3/s, eta 8431s
8000/1037468  65.3s elapsed, 122.4/s, eta 8408s
10000/1037468  81.9s elapsed, 122.1/s, eta 8412s
12000/1037468  98.0s elapsed, 122.4/s, eta 8376s
14000/1037468  113.0s elapsed, 123.9/s, eta 8259s
16000/1037468  129.3s elapsed, 123.7/s, eta 8257s
18000/1037468  145.7s elapsed, 123.5/s, eta 8254s
20000/1037468  162.5s elapsed, 123.1/s, eta 8267s
22000/1037468  178.2s elapsed, 123.5/s, eta 8224s
24000/1037468  200.0s elapsed, 120.0/s, eta 8445s
26000/1037468  225.4s elapsed, 115.3/s, eta 8769s
28000/1037468  252.1s elapsed, 111.1/s, eta 9089s
30000/1037468  278.9s elapsed, 107.6/s, eta 9365s
32000/1037468  302.4s elapsed, 105.8/s, eta 9501s
34000/1037468  327.9s elapsed, 103.7/s, eta 9677s
36000/1037468  353.3s elapsed, 101.9/s, eta 9828s
38000/1037468  378.6s elapsed, 100.4/s, eta 9957s
40000/1037468  404.3s elapsed, 98.9/s, eta 10082s
42000/1037468  430.8s elapsed, 97.5/s, eta 10210s
44000/1037468  457.3s elapsed, 96.2/s, eta 10325s
46000/1037468  486.5s elapsed, 94.6/s, eta 10486s
48000/1037468  513.7s elapsed, 93.4/s, eta 10589s
50000/1037468  543.3s elapsed, 92.0/s, eta 10729s
52000/1037468  569.7s elapsed, 91.3/s, eta 10797s
54000/1037468  596.0s elapsed, 90.6/s, eta 10854s
56000/1037468  617.2s elapsed, 90.7/s, eta 10817s
58000/1037468  643.1s elapsed, 90.2/s, eta 10861s
60000/1037468  669.3s elapsed, 89.6/s, eta 10904s
62000/1037468  695.0s elapsed, 89.2/s, eta 10934s
64000/1037468  720.5s elapsed, 88.8/s, eta 10960s
66000/1037468  750.2s elapsed, 88.0/s, eta 11042s
68000/1037468  776.2s elapsed, 87.6/s, eta 11066s
