r0,r1,r2,r3,lower_bound,best_weight,optimal,seconds
8,8,8,24,7,9,0,9.98
8,26,8,13,10,10,1,22.88
8,14,8,22,10,10,1,30.54
8,6,8,12,10,10,1,24.58
8,18,8,29,10,10,1,24.5
8,23,8,25,10,10,1,23.4
8,22,8,24,10,10,1,22.78
8,12,8,3,10,10,1,27.71
8,21,8,24,10,10,1,31.8
8,28,8,10,10,10,1,30.79
8,4,8,24,10,10,1,26.29
8,11,8,29,10,10,1,26.57
8,24,8,23,7,8,0,4.21
8,17,8,30,10,10,1,22.67
8,31,8,14,10,10,1,23.39
8,17,8,27,10,10,1,28.06
8,31,8,29,10,10,1,21.95
8,13,8,22,10,10,1,21.76
8,7,8,14,10,10,1,25.24
8,24,8,1,7,8,0,9.68
8,17,8,8,10,10,1,27.66
8,25,8,15,10,10,1,34.47
8,31,8,16,10,10,1,27.43
8,18,8,8,10,10,1,27.6
8,30,8,22,10,10,1,20.77
8,7,8,10,10,10,1,33.32
8,10,8,19,10,10,1,22.29
8,29,8,16,10,10,1,25.91
8,28,8,31,10,10,1,34.38
8,17,8,13,10,10,1,25.0
8,19,8,28,10,10,1,28.05
8,2,8,16,10,10,1,21.36
8,12,8,8,10,10,1,28.99
8,22,8,8,10,10,1,21.07
8,31,8,10,10,10,1,25.93
8,30,8,1,10,10,1,26.4
8,14,8,27,10,10,1,31.57
8,30,8,18,10,10,1,26.94
8,30,8,21,10,10,1,27.46
8,4,8,6,10,10,1,23.84
8,15,8,9,10,10,1,27.43
8,24,8,26,7,8,0,3.84
8,8,8,19,10,10,1,29.46
8,31,8,4,10,10,1,37.26
8,29,8,11,10,10,1,32.74
8,1,8,1,10,10,1,31.64
8,1,8,21,10,10,1,27.06
8,18,8,1,10,10,1,28.51
16,12,8,7,12,12,1,70.28
20,12,8,7,7,9,0,5.87
8,5,8,19,10,10,1,27.46
8,28,8,26,10,10,1,32.22
8,25,8,3,10,10,1,32.09
8,9,8,4,10,10,1,23.85
8,16,8,25,7,9,0,7.12
8,15,8,16,10,10,1,25.7
8,21,8,13,10,10,1,23.21
8,26,8,7,10,10,1,22.85
8,4,8,16,10,10,1,35.12
8,1,8,29,10,10,1,29.11
8,27,8,13,10,10,1,31.43
8,14,8,20,10,10,1,28.39
8,25,8,25,10,10,1,30.46
8,1,8,23,10,10,1,24.56
8,15,8,22,10,10,1,30.2
8,17,8,4,10,10,1,30.98
8,25,8,6,10,10,1,24.29
8,13,8,12,10,10,1,23.77
8,16,8,24,7,9,0,6.39
8,1,8,16,10,10,1,24.88
8,2,16,10,12,12,1,82.69
8,23,16,28,10,11,0,25.29
8,20,16,19,12,12,1,83.18
8,19,16,13,10,11,0,19.92
8,21,16,6,12,12,1,73.46
8,6,16,17,12,12,1,70.95
8,8,16,1,10,11,0,22.83
8,25,16,7,10,11,0,32.77
8,18,16,30,12,12,1,78.44
8,28,16,18,12,12,1,75.77
8,1,16,13,12,12,1,62.86
8,26,16,28,12,12,1,82.57
8,27,16,31,12,12,1,72.25
8,29,16,31,12,12,1,72.05
8,24,16,17,7,9,0,6.52
8,26,16,5,12,12,1,74.07
8,17,16,25,12,12,1,85.31
8,18,16,7,12,12,1,77.31
8,8,16,13,10,11,0,21.54
8,17,16,12,12,12,1,85.63
8,31,16,28,12,12,1,68.25
8,19,16,12,12,12,1,89.04
8,15,16,30,12,12,1,77.47
8,9,16,22,12,12,1,68.2
8,18,16,20,12,12,1,86.89
8,31,16,24,12,12,1,68.31
8,14,16,31,12,12,1,70.5
8,2,16,16,12,12,1,77.57
8,28,16,12,12,12,1,84.93
8,19,16,18,12,12,1,74.12
8,7,16,31,12,12,1,82.52
8,17,16,14,12,12,1,78.42
8,16,16,27,10,11,0,28.58
8,12,16,14,12,12,1,57.09
8,12,16,1,12,12,1,82.74
8,18,16,18,12,12,1,63.01
8,20,16,26,12,12,1,77.04
8,20,16,11,12,12,1,74.25
8,15,16,20,12,12,1,87.58
8,1,16,26,12,12,1,79.62
8,8,16,21,10,11,0,30.13
8,6,16,18,12,12,1,93.04
8,1,16,25,12,12,1,76.75
8,25,16,9,12,12,1,72.34
8,8,16,9,10,11,0,23.84
8,4,16,26,12,12,1,77.12
8,20,16,6,12,12,1,76.41
8,12,16,10,12,12,1,70.42
8,3,16,6,12,12,1,89.31
8,6,16,9,12,12,1,96.07
8,19,16,6,12,12,1,70.23
8,28,16,3,12,12,1,98.75
8,26,16,18,12,12,1,102.61
8,27,16,30,12,12,1,68.48
8,9,16,2,12,12,1,76.1
8,22,16,3,12,12,1,76.74
8,3,16,28,12,12,1,70.96
8,1,16,15,12,12,1,76.23
8,1,24,8,10,10,1,35.3
8,1,24,13,10,10,1,26.65
8,5,24,2,10,10,1,35.31
8,24,24,31,7,7,1,4.17
8,6,24,15,10,10,1,27.29
8,23,24,17,7,9,0,5.15
8,22,24,14,10,10,1,26.44
8,18,24,27,10,10,1,37.18
8,17,16,31,12,12,1,80.77
8,6,16,22,12,12,1,81.94
8,9,16,21,12,12,1,77.25
8,23,16,10,10,11,0,28.17
8,15,16,23,12,12,1,73.57
8,11,16,16,12,12,1,71.81
8,16,16,4,10,11,0,21.03
8,1,16,10,12,12,1,75.11
8,8,24,21,7,9,0,16.56
8,26,24,23,10,10,1,27.68
8,17,24,15,10,10,1,21.83
8,8,24,17,7,9,0,7.14
8,21,24,1,10,10,1,26.04
8,13,24,22,10,10,1,21.67
8,19,24,26,10,10,1,38.24
8,11,24,22,10,10,1,26.4
8,21,24,14,10,10,1,22.07
8,2,24,24,10,10,1,20.79
