r0,r1,r2,r3,lower_bound,best_weight,optimal,seconds
16,5,8,6,21,,0,502.88
24,21,16,23,21,,0,510.44
24,21,16,20,21,,0,561.23
24,21,16,30,21,,0,689.12
16,21,24,9,21,,0,696.67
16,21,25,22,21,,0,711.31
16,21,24,24,21,,0,766.34
16,21,24,8,21,,0,773.07
19,17,25,20,21,,0,471.73
22,17,26,27,21,,0,601.78
27,17,22,31,21,,0,487.42
16,25,21,8,21,,0,693.51
6,14,22,10,21,,0,540.33
18,24,21,15,21,,0,542.87
15,23,27,18,21,,0,754.01
25,17,5,14,21,,0,702.68
15,10,8,16,21,,0,553.02
6,17,20,17,21,,0,494.81
16,10,8,18,21,,0,579.31
17,7,13,5,21,,0,527.13
16,12,8,7,21,,0,578.49
