r0,r1,r2,r3,lower_bound,best_weight,optimal,seconds
16,5,8,6,25,,0,1264.41
16,21,24,24,25,,0,1353.12
24,21,16,23,25,,0,1368.35
24,21,16,20,25,,0,1376.92
16,21,25,22,25,,0,1562.53
24,21,16,30,25,,0,1620.98
16,21,24,9,25,,0,1730.87
16,21,24,8,25,,0,1843.46
22,17,26,27,25,,0,1388.23
16,25,21,8,25,,0,1750.44
15,23,27,18,25,,0,1536.63
6,14,22,10,25,,0,1681.56
27,17,22,31,25,,0,1908.48
19,17,25,20,25,,0,2000.75
25,17,5,14,25,,0,1773.15
18,24,21,15,25,,0,1910.14
15,10,8,16,25,,0,1450.36
6,17,20,17,25,,0,1011.59
16,12,8,7,25,,0,1070.46
16,10,8,18,25,,0,1264.01
17,7,13,5,25,,0,1137.76
